user,login_count,logoff_count,usb_connect_count,usb_disconnect_count,email_count,file_activity_count,unique_pc_count,after_hours_login,weekend_activity,attachment_count
AAE0190,692,346,0.0,0.0,4711,0.0,1,0.0,0.0,953.0
AAF0535,328,164,346.0,342.0,480,357.0,1,0.0,0.0,187.0
AAF0791,692,346,0.0,0.0,3012,0.0,1,0.0,0.0,0.0
AAL0706,692,346,0.0,0.0,336,0.0,1,346.0,0.0,71.0
AAM0658,458,229,7.0,6.0,659,31.0,1,234.0,2.0,275.0
AAN0823,692,346,0.0,0.0,339,0.0,1,346.0,0.0,78.0
AAS0442,136,50,0.0,0.0,145,0.0,1,22.0,0.0,65.0
AAV0450,692,346,0.0,0.0,336,0.0,1,159.0,0.0,67.0
AAW0353,692,346,0.0,0.0,1000,0.0,1,165.0,0.0,0.0
ABC0174,829,296,642.0,634.0,4239,589.0,1,296.0,126.0,465.0
ABC0253,963,346,0.0,0.0,3015,0.0,1,346.0,0.0,351.0
ABH0663,692,346,0.0,0.0,1006,0.0,1,346.0,0.0,104.0
ABM0845,1002,369,0.0,0.0,340,0.0,2,348.0,0.0,37.0
ABN0239,959,346,0.0,0.0,3023,0.0,1,159.0,0.0,602.0
ACC0042,2724,1362,0.0,0.0,3676,0.0,618,1981.0,0.0,1113.0
ACV0812,1279,509,0.0,0.0,3040,0.0,2,593.0,13.0,949.0
ADC0391,968,346,0.0,0.0,3057,0.0,1,371.0,0.0,1208.0
ADD0846,692,346,0.0,0.0,333,0.0,1,346.0,0.0,76.0
ADF0397,692,346,0.0,0.0,3038,0.0,1,350.0,0.0,312.0
AES0827,692,346,0.0,0.0,336,0.0,1,346.0,0.0,0.0
AGB0186,692,346,0.0,0.0,1003,0.0,1,346.0,0.0,0.0
AGB0643,692,346,0.0,0.0,1012,0.0,1,346.0,0.0,198.0
AHC0142,1197,442,0.0,0.0,3382,0.0,3,394.0,100.0,1002.0
AHD0848,1162,431,150.0,149.0,376,199.0,22,395.0,87.0,126.0
AHG0634,465,171,0.0,0.0,463,0.0,2,162.0,0.0,146.0
AHM0410,1183,458,394.0,388.0,3063,2198.0,3,176.0,9.0,917.0
AIB0948,1207,466,2990.0,2973.0,328,1669.0,34,460.0,0.0,39.0
AIH0675,692,346,0.0,0.0,2994,0.0,1,162.0,0.0,626.0
AIM0627,692,346,0.0,0.0,5009,0.0,1,150.0,0.0,0.0
AIP0394,1025,382,0.0,0.0,3044,0.0,1,430.0,8.0,892.0
AIP0982,1000,364,366.0,363.0,3328,6182.0,2,348.0,0.0,988.0
AIS0405,692,346,0.0,0.0,2995,0.0,1,391.0,0.0,606.0
AJC0840,692,346,0.0,0.0,364,0.0,1,346.0,0.0,45.0
AJD0074,1202,452,150.0,144.0,3781,515.0,2,422.0,118.0,1192.0
AJF0370,3267,1490,4261.0,4241.0,3927,11053.0,661,1787.0,142.0,1199.0
AJH0175,810,405,159.0,158.0,4976,236.0,1,456.0,7.0,529.0
AJL0462,1034,382,0.0,0.0,338,0.0,1,235.0,6.0,102.0
AJN0607,1177,456,1033.0,1028.0,5022,820.0,2,171.0,0.0,2034.0
AJP0723,692,346,0.0,0.0,337,0.0,1,346.0,0.0,0.0
AJR0319,1258,446,0.0,0.0,6434,0.0,1,446.0,279.0,1949.0
AJR0932,398,199,19.0,19.0,1709,47.0,1,203.0,1.0,0.0
AKC0924,692,346,0.0,0.0,3047,0.0,1,346.0,0.0,617.0
AKF0709,692,346,0.0,0.0,331,0.0,1,346.0,0.0,0.0
AKH0758,692,346,0.0,0.0,1008,0.0,1,0.0,0.0,204.0
AKK0329,692,346,0.0,0.0,1011,0.0,1,346.0,0.0,406.0
AKR0057,662,243,486.0,480.0,2459,540.0,13,267.0,0.0,256.0
AKW0167,692,346,0.0,0.0,3685,0.0,1,346.0,0.0,376.0
ALB0892,470,235,0.0,0.0,680,0.0,1,0.0,116.0,83.0
ALC0788,692,346,0.0,0.0,1004,0.0,1,346.0,0.0,400.0
ALD0529,968,346,0.0,0.0,993,0.0,1,0.0,0.0,317.0
ALD0544,692,346,0.0,0.0,2971,0.0,1,168.0,0.0,1183.0
ALH0402,692,346,0.0,0.0,3039,0.0,1,345.0,0.0,606.0
AMD0077,692,346,0.0,0.0,5984,0.0,1,346.0,0.0,1233.0
AMH0464,692,346,0.0,0.0,337,0.0,1,169.0,0.0,67.0
AMH0794,692,346,0.0,0.0,2957,0.0,1,0.0,0.0,618.0
AMJ0297,692,346,0.0,0.0,330,0.0,1,0.0,0.0,0.0
AMM0014,692,346,0.0,0.0,6029,0.0,1,352.0,0.0,0.0
AMR0318,1013,372,141.0,140.0,4974,230.0,1,389.0,5.0,502.0
AMR0400,692,346,0.0,0.0,2987,0.0,1,336.0,0.0,0.0
AMV0036,692,346,0.0,0.0,4711,0.0,1,346.0,0.0,0.0
AMW0392,1254,450,0.0,0.0,3956,0.0,1,546.0,275.0,398.0
