login_count,logoff_count,usb_connect_count,usb_disconnect_count,email_count,file_activity_count,unique_pc_count,after_hours_login,weekend_activity,attachment_count,max_login_drift,weeks_with_anomalous_login,max_usb_drift,weeks_with_anomalous_usb
692,346,0.0,0.0,4711,0.0,1,0.0,0.0,953.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,3012,0.0,1,0.0,0.0,0.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,336,0.0,1,346.0,0.0,71.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,339,0.0,1,346.0,0.0,78.0,1.3199178488951635,0,0.0,0.0
136,50,0.0,0.0,145,0.0,1,22.0,0.0,65.0,1.1927198519188364,0,0.0,0.0
692,346,0.0,0.0,336,0.0,1,159.0,0.0,67.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,1000,0.0,1,165.0,0.0,0.0,1.3199178488951635,0,0.0,0.0
963,346,0.0,0.0,3015,0.0,1,346.0,0.0,351.0,1.5398592170919916,0,0.0,0.0
692,346,0.0,0.0,1006,0.0,1,346.0,0.0,104.0,1.3199178488951635,0,0.0,0.0
1002,369,0.0,0.0,340,0.0,2,348.0,0.0,37.0,1.9858608907009945,0,0.0,0.0
959,346,0.0,0.0,3023,0.0,1,159.0,0.0,602.0,1.4722083355798814,0,0.0,0.0
2724,1362,0.0,0.0,3676,0.0,618,1981.0,0.0,1113.0,2.0189869358717294,1,0.0,0.0
1279,509,0.0,0.0,3040,0.0,2,593.0,13.0,949.0,1.7663531128948753,0,0.0,0.0
968,346,0.0,0.0,3057,0.0,1,371.0,0.0,1208.0,1.4250381878095173,0,0.0,0.0
692,346,0.0,0.0,333,0.0,1,346.0,0.0,76.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,3038,0.0,1,350.0,0.0,312.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,336,0.0,1,346.0,0.0,0.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,1003,0.0,1,346.0,0.0,0.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,1012,0.0,1,346.0,0.0,198.0,1.3199178488951635,0,0.0,0.0
1197,442,0.0,0.0,3382,0.0,3,394.0,100.0,1002.0,1.8709381231845488,0,0.0,0.0
1162,431,150.0,149.0,376,199.0,22,395.0,87.0,126.0,1.974299808294255,0,2.651879999635641,1.0
465,171,0.0,0.0,463,0.0,2,162.0,0.0,146.0,1.1557827101377676,0,0.0,0.0
1183,458,394.0,388.0,3063,2198.0,3,176.0,9.0,917.0,1.6371762783186266,0,1.94974894767368,0.0
1207,466,2990.0,2973.0,328,1669.0,34,460.0,0.0,39.0,1.866362311089648,0,1.4575694166033906,0.0
692,346,0.0,0.0,2994,0.0,1,162.0,0.0,626.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,5009,0.0,1,150.0,0.0,0.0,1.3199178488951635,0,0.0,0.0
1025,382,0.0,0.0,3044,0.0,1,430.0,8.0,892.0,1.7114346450357771,0,0.0,0.0
1000,364,366.0,363.0,3328,6182.0,2,348.0,0.0,988.0,1.706590077512507,0,2.451631764227396,1.0
692,346,0.0,0.0,2995,0.0,1,391.0,0.0,606.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,364,0.0,1,346.0,0.0,45.0,1.3199178488951635,0,0.0,0.0
1202,452,150.0,144.0,3781,515.0,2,422.0,118.0,1192.0,2.162205975434341,2,2.3865301518603483,3.0
3267,1490,4261.0,4241.0,3927,11053.0,661,1787.0,142.0,1199.0,1.8605046681607127,0,1.8130151014480929,0.0
810,405,159.0,158.0,4976,236.0,1,456.0,7.0,529.0,1.7531546509306946,0,2.571488449504168,3.0
1034,382,0.0,0.0,338,0.0,1,235.0,6.0,102.0,1.7418079999210812,0,0.0,0.0
1177,456,1033.0,1028.0,5022,820.0,2,171.0,0.0,2034.0,1.857208009632418,0,2.157404889786095,1.0
692,346,0.0,0.0,337,0.0,1,346.0,0.0,0.0,1.3199178488951635,0,0.0,0.0
1258,446,0.0,0.0,6434,0.0,1,446.0,279.0,1949.0,1.7367491222481617,0,0.0,0.0
692,346,0.0,0.0,3047,0.0,1,346.0,0.0,617.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,331,0.0,1,346.0,0.0,0.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,1008,0.0,1,0.0,0.0,204.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,1011,0.0,1,346.0,0.0,406.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,3685,0.0,1,346.0,0.0,376.0,1.3199178488951635,0,0.0,0.0
470,235,0.0,0.0,680,0.0,1,0.0,116.0,83.0,0.6632494767968508,0,0.0,0.0
692,346,0.0,0.0,1004,0.0,1,346.0,0.0,400.0,1.3199178488951635,0,0.0,0.0
968,346,0.0,0.0,993,0.0,1,0.0,0.0,317.0,1.5622640873763594,0,0.0,0.0
692,346,0.0,0.0,2971,0.0,1,168.0,0.0,1183.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,3039,0.0,1,345.0,0.0,606.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,5984,0.0,1,346.0,0.0,1233.0,1.3199178488951635,0,0.0,0.0
692,346,0.0,0.0,337,0.0,1,169.0,0.0,67.0,1.3199178488951635,0,0.0,0.0
